strategy,dimension,category,count,percentage,s0_percentage,delta_percentage_points
S0,size,kept,35254,100.0,,
S0,size,removed,0,0.0,,
S0,classes,Conforme,10836,30.74,30.74,0.0
S0,classes,NON Conforme,5659,16.05,16.05,0.0
S0,classes,PIETRA,6033,17.11,17.11,0.0
S0,classes,Vide,12726,36.1,36.1,0.0
S0,years,2025,20266,57.49,57.49,0.0
S0,years,2026,14988,42.51,42.51,0.0
S0,positions,B,18189,51.59,51.59,0.0
S0,positions,T,17065,48.41,48.41,0.0
S0,cameras,1,5811,16.48,16.48,0.0
S0,cameras,2,5953,16.89,16.89,0.0
S0,cameras,3,6157,17.46,17.46,0.0
S0,cameras,4,5792,16.43,16.43,0.0
S0,cameras,5,5913,16.77,16.77,0.0
S0,cameras,6,5628,15.96,15.96,0.0
S0,remaining_flag,is_masked_disagreement,59,0.17,,
S0,remaining_flag,is_multiple,1197,3.4,,
S0,remaining_flag,is_chunk,4975,14.11,,
S0,remaining_flag,is_mixed_quality,0,0.0,,
S0,remaining_flag,is_missing_labeled_by,8033,22.79,,
S0,historical_tb,complete_pairs,16176,,,
S0,historical_tb,partial_pairs,0,,,
S0,historical_tb,fully_removed_pairs,0,,,
S0,historical_tb,complete_pairs_same_label_principal,10714,,,
S0,historical_tb,complete_pairs_different_label_principal,5462,,,
S0,historical_tb,paired_images_kept,32352,,,
S0,historical_tb,unpaired_images_kept,2902,,,
S0,historical_tb,images_in_disagreeing_pairs_kept,10924,,,
S1,size,kept,35195,99.83,,
S1,size,removed,59,0.17,,
S1,classes,Conforme,10824,30.75,30.74,0.01
S1,classes,NON Conforme,5659,16.08,16.05,0.03
S1,classes,PIETRA,6033,17.14,17.11,0.03
S1,classes,Vide,12679,36.03,36.1,-0.07
S1,years,2025,20207,57.41,57.49,-0.08
S1,years,2026,14988,42.59,42.51,0.08
S1,positions,B,18168,51.62,51.59,0.03
S1,positions,T,17027,48.38,48.41,-0.03
S1,cameras,1,5805,16.49,16.48,0.01
S1,cameras,2,5949,16.9,16.89,0.01
S1,cameras,3,6146,17.46,17.46,0.0
S1,cameras,4,5773,16.4,16.43,-0.03
S1,cameras,5,5906,16.78,16.77,0.01
S1,cameras,6,5616,15.96,15.96,0.0
S1,remaining_flag,is_masked_disagreement,0,0.0,,
S1,remaining_flag,is_multiple,1197,3.4,,
