scope,key_id,key_columns,total_images,total_groups,exact_1t1b_groups,exact_1t1b_images,exact_1t1b_image_rate_pct,top_only_groups,top_only_images,top_only_image_rate_pct,bottom_only_groups,bottom_only_images,bottom_only_image_rate_pct,multiple_top_groups,multiple_top_images,multiple_top_image_rate_pct,multiple_bottom_groups,multiple_bottom_images,multiple_bottom_image_rate_pct,multiple_both_groups,multiple_both_images,multiple_both_image_rate_pct,ambiguous_groups,ambiguous_images,ambiguous_image_rate_pct,potential_pairs,potentially_paired_images,remaining_images,potential_pair_rate_pct,remaining_rate_pct
all,A,year + batch_num + cam_num + sample_num,35254,12538,5561,11122,31.55,437,452,1.28,1737,1739,4.93,4593,21297,60.41,4536,21130,59.94,4310,20453,58.02,4819,21974,62.33,5561,11122,24132,31.55,68.45
all,B,year + batch_num + cam_num + sample_num + label_filename,35254,19078,16176,32352,91.77,889,889,2.52,2013,2013,5.71,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,16176,32352,2902,91.77,8.23
all,C,year + cam_num + sample_num + label_filename,35254,16284,12318,24636,69.88,687,689,1.95,719,798,2.26,1500,5949,16.87,2592,9148,25.95,1451,5804,16.46,2641,9293,26.36,12318,24636,10618,69.88,30.12
all,D,year + cam_num + sample_num,35254,6729,932,1864,5.29,184,192,0.54,126,133,0.38,5134,31896,90.47,5407,32806,93.06,5042,31610,89.66,5499,33092,93.87,932,1864,33390,5.29,94.71
2025,A,year + batch_num + cam_num + sample_num,20266,8965,4667,9334,46.06,275,285,1.41,1691,1693,8.35,2172,8464,41.76,2130,8346,41.18,1958,7832,38.65,2344,8978,44.3,4667,9334,10932,46.06,53.94
2025,B,year + batch_num + cam_num + sample_num + label_filename,20266,11316,8950,17900,88.33,496,496,2.45,1870,1870,9.23,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8950,17900,2366,88.33,11.67
2025,C,year + cam_num + sample_num + label_filename,20266,8522,5092,10184,50.25,294,296,1.46,576,655,3.23,1500,5949,29.35,2592,9148,45.14,1451,5804,28.64,2641,9293,45.86,5092,10184,10082,50.25,49.75
2025,D,year + cam_num + sample_num,20266,3156,38,76,0.38,22,25,0.12,80,87,0.43,2713,19063,94.06,3001,20022,98.8,2690,18989,93.7,3024,20096,99.16,38,76,20190,0.38,99.62
2026,A,year + batch_num + cam_num + sample_num,14988,3573,894,1788,11.93,162,167,1.11,46,46,0.31,2421,12833,85.62,2406,12784,85.29,2352,12621,84.21,2475,12996,86.71,894,1788,13200,11.93,88.07
2026,B,year + batch_num + cam_num + sample_num + label_filename,14988,7762,7226,14452,96.42,393,393,2.62,143,143,0.95,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7226,14452,536,96.42,3.58
2026,C,year + cam_num + sample_num + label_filename,14988,7762,7226,14452,96.42,393,393,2.62,143,143,0.95,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7226,14452,536,96.42,3.58
2026,D,year + cam_num + sample_num,14988,3573,894,1788,11.93,162,167,1.11,46,46,0.31,2421,12833,85.62,2406,12784,85.29,2352,12621,84.21,2475,12996,86.71,894,1788,13200,11.93,88.07
