scope,key_id,potential_pairs,same_label_principal,different_label_principal,pairs_with_multiple,multiple_differs_between_sides,pairs_with_chunk,chunk_differs_between_sides,pairs_with_vide,vide_differs_between_sides
all,A,5561,4013,1548,377,364,1433,1245,2356,1548
2025,A,4667,3533,1134,334,323,1282,1106,1787,1134
2026,A,894,480,414,43,41,151,139,569,414
all,B,16176,10714,5462,1098,1063,3969,3450,8622,5462
2025,B,8950,6346,2604,591,571,2774,2317,4227,2604
2026,B,7226,4368,2858,507,492,1195,1133,4395,2858
all,C,12318,7715,4603,831,805,2859,2501,7229,4603
2025,C,5092,3347,1745,324,313,1664,1368,2834,1745
2026,C,7226,4368,2858,507,492,1195,1133,4395,2858
all,D,932,501,431,47,45,165,151,588,428
2025,D,38,21,17,4,4,14,12,19,14
2026,D,894,480,414,43,41,151,139,569,414
