namespace_variant,year,batch_num,cam_num,label_filename,cam_position,sample_num_min,sample_num_max,distinct_sample_num,holes,continuous,starts_at_zero
with_label_filename,2025,1,1,Conforme,B,0,420,421,0,True,True
with_label_filename,2025,1,1,Conforme,T,0,371,372,0,True,True
with_label_filename,2025,1,2,Conforme,B,0,406,407,0,True,True
with_label_filename,2025,1,2,Conforme,T,0,385,386,0,True,True
with_label_filename,2025,1,3,Conforme,B,0,523,524,0,True,True
with_label_filename,2025,1,3,Conforme,T,0,529,529,1,False,True
with_label_filename,2025,1,4,Conforme,B,0,493,475,19,False,True
with_label_filename,2025,1,4,Conforme,T,0,516,517,0,True,True
with_label_filename,2025,1,5,Conforme,B,0,416,417,0,True,True
with_label_filename,2025,1,5,Conforme,T,0,464,465,0,True,True
with_label_filename,2025,1,6,Conforme,B,0,406,407,0,True,True
with_label_filename,2025,1,6,Conforme,T,0,519,498,22,False,True
with_label_filename,2025,2,1,Conforme,B,0,532,529,4,False,True
with_label_filename,2025,2,1,Conforme,T,1,267,267,0,True,False
with_label_filename,2025,2,2,Conforme,B,0,518,519,0,True,True
with_label_filename,2025,2,2,Conforme,T,0,272,273,0,True,True
with_label_filename,2025,2,3,Conforme,B,0,530,529,2,False,True
with_label_filename,2025,2,3,Conforme,T,0,258,259,0,True,True
with_label_filename,2025,2,4,Conforme,B,0,496,481,16,False,True
with_label_filename,2025,2,4,Conforme,T,0,256,257,0,True,True
with_label_filename,2025,2,5,Conforme,B,0,536,537,0,True,True
with_label_filename,2025,2,5,Conforme,T,0,220,221,0,True,True
with_label_filename,2025,2,6,Conforme,B,0,515,470,46,False,True
with_label_filename,2025,2,6,Conforme,T,0,226,226,1,False,True
with_label_filename,2025,<NO_BATCH>,1,NON Conforme,B,0,494,482,13,False,True
with_label_filename,2025,<NO_BATCH>,1,NON Conforme,T,0,494,492,3,False,True
with_label_filename,2025,<NO_BATCH>,1,PIETRA,B,0,405,394,12,False,True
with_label_filename,2025,<NO_BATCH>,1,PIETRA,T,0,377,378,0,True,True
with_label_filename,2025,<NO_BATCH>,2,NON Conforme,B,0,502,498,5,False,True
with_label_filename,2025,<NO_BATCH>,2,NON Conforme,T,0,516,512,5,False,True
with_label_filename,2025,<NO_BATCH>,2,PIETRA,B,0,398,398,1,False,True
with_label_filename,2025,<NO_BATCH>,2,PIETRA,T,0,374,375,0,True,True
with_label_filename,2025,<NO_BATCH>,3,NON Conforme,B,0,494,492,3,False,True
with_label_filename,2025,<NO_BATCH>,3,NON Conforme,T,0,497,489,9,False,True
with_label_filename,2025,<NO_BATCH>,3,PIETRA,B,0,390,389,2,False,True
with_label_filename,2025,<NO_BATCH>,3,PIETRA,T,0,386,386,1,False,True
with_label_filename,2025,<NO_BATCH>,4,NON Conforme,B,1,500,467,33,False,False
with_label_filename,2025,<NO_BATCH>,4,NON Conforme,T,0,498,494,5,False,True
with_label_filename,2025,<NO_BATCH>,4,PIETRA,B,0,329,313,17,False,True
with_label_filename,2025,<NO_BATCH>,4,PIETRA,T,0,391,392,0,True,True
