dimension,group,n_images,accuracy,macro_f1,precision_conforme,recall_conforme
year,2025,3040,0.7950657894736842,0.6753057222387235,0.7753934191702432,0.9635555555555556
year,2026,2249,0.678523788350378,0.554405512098353,0.4660397074190178,0.892
cam_position,T,2559,0.7581086361860102,0.653909864231555,0.6911111111111111,0.8962536023054755
cam_position,B,2730,0.7336996336996336,0.5988422321298558,0.6240549828178694,0.9752953813104189
cam_num,1,871,0.7634902411021814,0.6405912372148994,0.6547231270358306,0.9136363636363637
cam_num,2,894,0.7069351230425056,0.5942229094686958,0.6383442265795207,0.9421221864951769
cam_num,3,924,0.7186147186147186,0.6023534332699891,0.6271551724137931,0.9326923076923077
cam_num,4,868,0.771889400921659,0.6730174727394159,0.6917808219178082,0.9711538461538461
cam_num,5,887,0.741826381059752,0.6395988009830689,0.6155988857938719,0.9444444444444444
cam_num,6,845,0.7739644970414201,0.5987692097984331,0.6737804878048781,0.9364406779661016
chunk,False,4551,0.7802680729509998,0.6351337841881962,0.6404849762783342,0.9735576923076923
chunk,True,738,0.5311653116531165,0.33728332369107367,0.6877729257641921,0.8355437665782494
multiple,False,5115,0.7478005865102639,0.6257552555493577,0.6467951591214702,0.9388418998048146
multiple,True,174,0.6781609195402298,0.4056436843008947,0.7016129032258065,0.9886363636363636
