dimension,group,n_images,accuracy,macro_f1,precision_conforme,recall_conforme
year,2025,3040,0.8671052631578947,0.8186005803542609,0.9095940959409594,0.8764444444444445
year,2026,2249,0.8648288128056915,0.835823063473992,0.8034557235421166,0.744
cam_position,T,2559,0.8819851504493943,0.8471288918807608,0.8777292576419214,0.8688760806916427
cam_position,B,2730,0.8512820512820513,0.826194290149747,0.877906976744186,0.8109559613319012
cam_num,1,871,0.8737083811710677,0.8289537949046507,0.863849765258216,0.8363636363636363
cam_num,2,894,0.8635346756152126,0.846691579441098,0.898989898989899,0.8585209003215434
cam_num,3,924,0.8636363636363636,0.8430631963652916,0.8885017421602788,0.8173076923076923
cam_num,4,868,0.8536866359447005,0.8271963056503445,0.8825503355704698,0.842948717948718
cam_num,5,887,0.8782412626832018,0.8493753291235991,0.8716814159292036,0.8418803418803419
cam_num,6,845,0.863905325443787,0.8043264885981989,0.8495575221238938,0.8135593220338984
chunk,False,4551,0.8927708196000879,0.8533813363665477,0.8940783986655546,0.8589743589743589
chunk,True,738,0.7018970189701897,0.5053775878056197,0.8218390804597702,0.7586206896551724
multiple,False,5115,0.8688172043010752,0.8369272039270333,0.8748299319727891,0.8366948601171112
multiple,True,174,0.7873563218390804,0.5638691497182062,0.935064935064935,0.8181818181818182
