dimension,group,n_images,accuracy,macro_f1,precision_conforme,recall_conforme
year,2025,3040,0.8391447368421052,0.7779764428504851,0.914175506268081,0.8426666666666667
year,2026,2249,0.8461538461538461,0.8107495901896737,0.7804347826086957,0.718
cam_position,T,2559,0.8554122704181321,0.8148066968805008,0.8885350318471338,0.8040345821325648
cam_position,B,2730,0.8296703296703297,0.7962472240094394,0.8619102416570771,0.8045112781954887
cam_num,1,871,0.8484500574052812,0.7938213268247283,0.8592964824120602,0.7772727272727272
cam_num,2,894,0.825503355704698,0.7989985309148755,0.8888888888888888,0.8231511254019293
cam_num,3,924,0.829004329004329,0.8013727457770644,0.8844765342960289,0.7852564102564102
cam_num,4,868,0.8594470046082949,0.8294251649515271,0.8877887788778878,0.8621794871794872
cam_num,5,887,0.8568207440811725,0.8208732082695365,0.8539823008849557,0.8247863247863247
cam_num,6,845,0.834319526627219,0.7695241729984779,0.8480392156862745,0.7330508474576272
chunk,False,4551,0.8718962865304328,0.8208315527108991,0.8794679966749792,0.8477564102564102
chunk,True,738,0.6585365853658537,0.4712678699563946,0.8469387755102041,0.6604774535809018
multiple,False,5115,0.8437927663734115,0.804177982413985,0.8695345557122708,0.8022121014964216
multiple,True,174,0.7931034482758621,0.5599051576744078,0.9367088607594937,0.8409090909090909
