epoch,phase,phase_index,phase_epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,val_precision_conforme,val_recall_conforme,learning_rate,epoch_seconds
1,head,1,1,0.6070282841422461,0.5243909326352927,0.7462009158325567,0.7761391567404046,0.6661852271721058,0.7270928607776934,0.8083623693379791,0.7138461538461538,0.001,540.3246654999675
2,head,1,2,0.5320869007595413,0.6132372734643129,0.7795923329416056,0.730951030440537,0.7112273181792713,0.6902949359046959,0.9204406364749081,0.46276923076923077,0.001,551.3630358000519
3,head,1,3,0.5041266962503621,0.56135959085799,0.7868055274141913,0.7337871053129136,0.721030713959134,0.6714341779785716,0.8765765765765766,0.5987692307692307,0.001,536.4530911999755
4,finetune,2,1,0.5498075697771969,0.501692603051516,0.7715281436155125,0.7804878048780488,0.6976466339795209,0.7410638416789128,0.8629690048939641,0.6510769230769231,0.0001,589.0371478999732
5,finetune,2,2,0.43519763718133675,0.462206931618171,0.817684483527171,0.8065796937039138,0.7598324312220973,0.7576712677403481,0.8479166666666667,0.7513846153846154,0.0001,570.9440682000713
6,finetune,2,3,0.40438320635408725,0.6997291868903682,0.831462495441099,0.6867082624314615,0.7789198402887294,0.6242122128971808,0.8729559748427673,0.4270769230769231,0.0001,562.3375626000343
7,finetune,2,4,0.38250704521432793,0.40324838723199175,0.8424849049722414,0.8296464359992437,0.7934293166156436,0.7842446189721318,0.8264311814859927,0.835076923076923,0.0001,559.1822346999543
8,finetune,2,5,0.3676201615900885,0.7261315756437796,0.8501033350893544,0.6696918131972017,0.8041954395727449,0.5942318861150614,0.8544973544973545,0.39753846153846156,0.0001,592.1940072000725
9,finetune,2,6,0.3560509907323489,0.4236720711173126,0.8522916075698018,0.8226507846473814,0.8076901194012365,0.7872315356538274,0.9001512859304085,0.7323076923076923,0.0001,557.5062689000042
10,finetune,2,7,0.33763509812461123,0.424065108280886,0.8610446974915914,0.8230289279636982,0.8198399923126787,0.7861182642301551,0.8837876614060258,0.7581538461538462,0.0001,569.4474103000248
11,finetune,2,8,0.3135327893364887,0.3752599839715572,0.8703245937512664,0.8421251654377009,0.8311415289811397,0.8049209224003266,0.8730794923179692,0.8043076923076923,5e-05,504.8220910000382
12,finetune,2,9,0.30559275902404043,0.43789390784329607,0.8743769501965393,0.8164114199281528,0.8368176150109438,0.7786662853268295,0.8780131482834186,0.7396923076923076,5e-05,508.0106146999169
13,finetune,2,10,0.29837375997974075,0.389013770738281,0.8783482595129067,0.833616940820571,0.8426005709240878,0.7974233716689105,0.8884943181818182,0.7698461538461538,5e-05,506.52419669996016
14,finetune,2,11,0.2921880330210635,0.4586991846496632,0.8819143331847469,0.8118737001323502,0.8469377272413041,0.7808177650454767,0.9201030927835051,0.6590769230769231,5e-05,528.2721287999302
15,finetune,2,12,0.27582049691542315,0.3996821241891746,0.8893706690440492,0.8339950841368878,0.8574333524702256,0.8014824685067157,0.8992592592592593,0.7470769230769231,2.5e-05,539.6054513999261
16,finetune,2,13,0.2704681722736293,0.3798993142738547,0.8903837581553673,0.8425033087540178,0.8583527597137548,0.8039943727300265,0.8564167725540025,0.8295384615384616,2.5e-05,558.1588723999448
