threshold,precision_conforme,recall_conforme,f1_conforme,non_conforme_to_conforme,pietra_to_conforme,false_conforme_total,conforme_rejected,accuracy,macro_f1,precision_shortfall,recall_shortfall,distance_to_objectives
0.5,0.8854101440200376,0.8701538461538462,0.877715704531347,45,131,176,211,0.879372282094914,0.8501237869766591,0.06458985597996236,0.0,0.06458985597996236
0.51,0.888468809073724,0.8676923076923077,0.8779576587795765,43,129,172,215,0.8795613537530724,0.850371975387018,0.0615311909262759,0.0,0.0615311909262759
0.52,0.8898036732108929,0.8646153846153846,0.8770287141073658,43,127,170,220,0.8789941387785971,0.8499158689133017,0.060196326789107024,0.0,0.060196326789107024
0.53,0.8945012787723785,0.8609230769230769,0.8773910316713703,42,119,161,226,0.8795613537530724,0.850935951823848,0.05549872122762145,0.0,0.05549872122762145
0.54,0.8974854932301741,0.8566153846153847,0.8765743073047859,40,115,155,233,0.879372282094914,0.85111407035998,0.05251450676982583,0.0,0.05251450676982583
0.55,0.8999350227420403,0.8523076923076923,0.8754740834386852,38,112,150,240,0.8788050671204386,0.8507445899942743,0.050064977257959664,0.0,0.050064977257959664
0.56,0.9001956947162426,0.8492307692307692,0.8739708676377455,38,111,149,245,0.8780487804878049,0.8500795568508785,0.049804305283757344,0.0007692307692307443,0.049810245339428225
0.57,0.899869109947644,0.8461538461538461,0.872185220424992,38,111,149,250,0.8771034221970126,0.8491476301756438,0.050130890052355936,0.0038461538461538325,0.050278216325260416
0.58,0.8992094861660079,0.84,0.8685968819599109,38,111,149,260,0.8752127056154283,0.8473248226510479,0.050790513833992024,0.010000000000000009,0.051765589879001046
0.59,0.9013898080741231,0.8381538461538461,0.8686224489795918,36,109,145,263,0.8754017772735867,0.8477576908354261,0.0486101919258769,0.01184615384615384,0.050032810434926925
0.6,0.9017916390179164,0.8363076923076923,0.867816091954023,36,108,144,266,0.8750236339572698,0.84744962063049,0.04820836098208359,0.01369230769230767,0.0501151210566203
0.61,0.9020652898067955,0.8332307692307692,0.8662827895073576,36,107,143,271,0.8740782756664776,0.846458518381209,0.0479347101932045,0.01676923076923076,0.05078329983270306
0.62,0.903420523138833,0.8289230769230769,0.8645699614890886,36,104,140,278,0.8733219890338438,0.8458896161476575,0.046579476861166924,0.021076923076923104,0.05112616112178303
0.63,0.9037037037037037,0.8258461538461539,0.8630225080385852,36,103,139,283,0.87256570240121,0.8452251915944424,0.04629629629629628,0.02415384615384608,0.052218342895749975
0.64,0.9057627118644068,0.8221538461538461,0.8619354838709677,34,101,135,289,0.8719984874267347,0.8448056654843463,0.044237288135593134,0.027846153846153854,0.05227184658700282
0.65,0.9071672354948805,0.8178461538461539,0.8601941747572815,32,100,132,296,0.8710531291359426,0.8439408961004526,0.042832764505119414,0.03215384615384609,0.053558524416158264
0.66,0.9074708704592186,0.8147692307692308,0.8586251621271076,32,99,131,301,0.8702968425033087,0.8432334447367467,0.04252912954078136,0.03523076923076918,0.055226207185432113
0.67,0.9077134986225895,0.811076923076923,0.8566785830354241,32,98,130,307,0.8691624125543581,0.8420655024516239,0.04228650137741041,0.03892307692307695,0.05747307296379321
0.68,0.9077029840388618,0.804923076923077,0.8532289628180039,32,97,129,317,0.8674607676309322,0.8404686973280622,0.04229701596113811,0.045076923076923014,0.06181396729946725
0.69,0.9086471408647141,0.8018461538461539,0.8519123896698267,32,95,127,322,0.8668935526564568,0.83998332459541,0.04135285913528586,0.0481538461538461,0.06347323733725163
0.7,0.9110169491525424,0.7938461538461539,0.8484051298914831,31,91,122,335,0.8651919077330308,0.8385502224983499,0.03898305084745757,0.05615384615384611,0.06835885232539586
0.71,0.9132290184921764,0.7901538461538462,0.8472451336192676,31,87,118,341,0.864813764416714,0.8383719636876386,0.03677098150782354,0.05984615384615377,0.07024006841700972
0.72,0.9146341463414634,0.7846153846153846,0.844650546538589,29,86,115,350,0.8633011911514464,0.836869777526273,0.035365853658536506,0.06538461538461537,0.07433634060129071
0.73,0.9167270094134685,0.7790769230769231,0.8423153692614771,28,83,111,359,0.8621667612024957,0.835922452424297,0.03327299058653144,0.07092307692307687,0.07834012217764336
0.74,0.9169096209912536,0.7741538461538462,0.8395061728395061,28,82,110,367,0.8608432595953867,0.8346760426632613,0.03309037900874634,0.07584615384615379,0.08275030052028155
0.75,0.9192956713132795,0.7710769230769231,0.8386880856760375,27,79,106,372,0.8604651162790697,0.8344279071973175,0.03070432868672046,0.07892307692307687,0.08468534625959839
0.76,0.9194977843426884,0.7661538461538462,0.8358509566968781,27,78,105,380,0.8591416146719607,0.8331795817083854,0.030502215657311593,0.08384615384615379,0.08922198537803357
0.77,0.9188988095238095,0.76,0.8319299427416639,27,78,105,390,0.8572508980903762,0.8314022433448502,0.03110119047619042,0.08999999999999997,0.0952222875646047
0.78,0.9211119459053343,0.7544615384615385,0.8294993234100135,26,76,102,399,0.8561164681414256,0.8304884619741568,0.02888805409466566,0.09553846153846146,0.09981040678462547
0.79,0.9232522796352584,0.7476923076923077,0.8262495749744985,26,72,98,410,0.8546038948761581,0.8290844131822102,0.0267477203647416,0.10230769230769232,0.10574641577867243
0.8,0.9254992319508448,0.7415384615384616,0.8233686368295183,23,71,94,420,0.8529022499527321,0.827405015962118,0.02450076804915513,0.10846153846153839,0.11119439266636727
0.81,0.9271317829457364,0.736,0.8205831903945111,23,68,91,429,0.851578748345623,0.8261837575814808,0.022868217054263562,0.11399999999999999,0.1162710426169857
