dimension,group,n_images,accuracy,macro_f1,precision_conforme,recall_conforme
year,2025,3040,0.8792763157894737,0.8349870251196783,0.9162162162162162,0.904
year,2026,2249,0.884393063583815,0.8589140786711411,0.8118811881188119,0.82
cam_position,T,2559,0.8862837045720985,0.8538161270790371,0.9115853658536586,0.861671469740634
cam_position,B,2730,0.8769230769230769,0.8508472355700847,0.8644421272158499,0.8904403866809882
cam_num,1,871,0.886337543053961,0.8440752312437984,0.8790697674418605,0.8590909090909091
cam_num,2,894,0.8713646532438478,0.847565664146691,0.8949044585987261,0.9035369774919614
cam_num,3,924,0.8766233766233766,0.8528484933552776,0.8810289389067524,0.8782051282051282
cam_num,4,868,0.8870967741935484,0.8659164557088432,0.9078947368421053,0.8846153846153846
cam_num,5,887,0.8962795941375423,0.8715450669885663,0.8776371308016878,0.8888888888888888
cam_num,6,845,0.8710059171597633,0.8131899394769504,0.8504273504273504,0.8432203389830508
chunk,False,4551,0.9002417051197539,0.8607794562491355,0.8970233306516492,0.8934294871794872
chunk,True,738,0.7655826558265583,0.5432212554936471,0.8387096774193549,0.8275862068965517
multiple,False,5115,0.8838709677419355,0.8529750332559699,0.8812785388127854,0.8789850357839948
multiple,True,174,0.8103448275862069,0.574719887955182,0.926829268292683,0.8636363636363636
