epoch,phase,phase_index,phase_epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,val_precision_conforme,val_recall_conforme,learning_rate,epoch_seconds
1,head,1,1,0.7121776898801822,0.6011670764756126,0.7113506504032094,0.7451314048024201,0.60928654040425,0.6407604353701682,0.6589541878759834,0.8763076923076923,0.001,492.25692080002045
2,head,1,2,0.5818936863915868,0.5542178964159579,0.7598978806175791,0.7676309321232747,0.6792739598355646,0.6965370158410249,0.7406356413166856,0.803076923076923,0.001,454.001454000012
3,head,1,3,0.5555782710411233,0.5805724740034016,0.7683673055881995,0.7388920400831915,0.6903813864164448,0.6882053119903493,0.8320738874895046,0.6098461538461538,0.001,541.42587799998
4,finetune,2,1,0.5042457779449838,0.47457042004787015,0.7966122300117519,0.7963698241633579,0.7339371031424182,0.762929728620852,0.9230072463768116,0.6270769230769231,0.0001,547.6381564000039
5,finetune,2,2,0.3868229616696509,0.43214004070389406,0.8462535964663451,0.8088485536018151,0.8002022716187719,0.7742759284017926,0.9171452009844134,0.688,0.0001,534.6199876000173
6,finetune,2,3,0.35433994785827394,0.35502120766047046,0.8571949588685821,0.8557383248251087,0.8154389574096667,0.819038746377156,0.8575832305795315,0.856,0.0001,520.0399452000274
7,finetune,2,4,0.32945060632398604,0.37958348889483534,0.8692709810754954,0.8438268103611268,0.8314222359088602,0.8110162751889105,0.8938861560084329,0.7827692307692308,0.0001,534.0680878999992
8,finetune,2,5,0.3127425908027893,0.330717377442818,0.877416217530494,0.8706749858196257,0.8431640883853869,0.8375838238934932,0.8673279603223807,0.8609230769230769,0.0001,554.4767811000347
9,finetune,2,6,0.2928737665744294,0.3871473455893171,0.8836568464562143,0.8402344488561164,0.8510225682476932,0.814502657453289,0.9223300970873787,0.7015384615384616,0.0001,557.2303782999516
10,finetune,2,7,0.2769243512561537,0.3664815082450905,0.8898164282530291,0.8561164681414256,0.8591228898690203,0.8220572227490666,0.8583072100313479,0.8424615384615385,0.0001,535.8512805000064
11,finetune,2,8,0.26556225120357035,0.4272114417899036,0.8954492037119585,0.8287010777084515,0.866326469491928,0.8022259812186037,0.9326424870466321,0.6646153846153846,0.0001,542.7139085000381
12,finetune,2,9,0.21292056934506096,0.4025059460498897,0.9165619807918305,0.8568727547740593,0.8938928415320828,0.8187180966582055,0.8898963730569949,0.8455384615384616,5e-05,470.34957530000247
13,finetune,2,10,0.189032764521521,0.325563205193313,0.9271791546784455,0.8814520703346569,0.9082443680729957,0.8521299153055785,0.8835913312693499,0.8781538461538462,5e-05,464.8935201999848
14,finetune,2,11,0.17549081480241283,0.3307933495813818,0.9327714065729221,0.8835318585743996,0.9155765767974089,0.8556480834744215,0.8886075949367088,0.864,5e-05,465.65206809993833
15,finetune,2,12,0.1585024623255021,0.35890884746719554,0.9397414596587916,0.8786159954622802,0.924421732150656,0.8488820139797383,0.8872795969773299,0.8670769230769231,5e-05,462.2809175000293
16,finetune,2,13,0.14578602179832376,0.3480716785959235,0.944928475908741,0.8801285687275477,0.9308936411035007,0.8487411048667644,0.8618225134008338,0.8904615384615384,5e-05,467.5816775999265
17,finetune,2,14,0.10987451138212548,0.45045464202885965,0.9591117234671962,0.8646246927585555,0.9486444332204239,0.8382149790799658,0.9130434782608695,0.7883076923076923,2.5e-05,470.11155589995906
18,finetune,2,15,0.09492037456176045,0.4755844113541694,0.9644203104105037,0.869540555870675,0.9552340766687304,0.8421699225041858,0.903182125930941,0.820923076923077,2.5e-05,466.60902149998583
